iter, episode, ep_real_reward, reward, loss, epsilon 
201, 0, 8.0, 1.0, 0, 1.0 
359, 1, 6.0, 1.0, 0, 1.0 
476, 2, 10.0, 1.0, 0, 1.0 
586, 3, 7.0, 0.0, 0, 1.0 
708, 4, 7.0, 1.0, 0, 1.0 
837, 5, 6.0, 1.0, 0, 1.0 
1030, 6, 8.0, 0.0, 0, 1.0 
1184, 7, 6.0, 0.0, 0, 1.0 
1302, 8, 8.0, 0.0, 0, 1.0 
1456, 9, 9.0, 1.0, 0, 1.0 
1603, 10, 7.0, 0.0, 0, 1.0 
1723, 11, 7.0, 1.0, 0, 1.0 
1851, 12, 8.0, 1.0, 0, 1.0 
2005, 13, 7.0, 0.0, 0, 1.0 
2132, 14, 5.0, 1.0, 0, 1.0 
2259, 15, 8.0, -1.0, 0, 1.0 
2426, 16, 9.0, 0.0, 0, 1.0 
2582, 17, 14.0, 0.0, 0, 1.0 
2739, 18, 8.0, 0.0, 0, 1.0 
2896, 19, 9.0, 0.0, 0, 1.0 
3056, 20, 7.0, 1.0, 0, 1.0 
3209, 21, 13.0, 0.0, 0, 1.0 
3372, 22, 9.0, 1.0, 0, 1.0 
3536, 23, 9.0, 1.0, 0, 1.0 
3699, 24, 8.0, 1.0, 0, 1.0 
3820, 25, 6.0, 1.0, 0, 1.0 
3937, 26, 7.0, 0.0, 0, 1.0 
4125, 27, 11.0, 1.0, 0, 1.0 
4352, 28, 10.0, 0.0, 0, 1.0 
4470, 29, 8.0, 1.0, 0, 1.0 
4627, 30, 6.0, 0.0, 0, 1.0 
4778, 31, 9.0, 1.0, 0, 1.0 
4936, 32, 8.0, -0.5, 0, 1.0 
5047, 33, 8.0, 1.0, 0, 1.0 
5210, 34, 11.0, 0.0, 0, 1.0 
5329, 35, 9.0, 0.0, 0, 1.0 
5453, 36, 8.0, 1.0, 0, 1.0 
5636, 37, 9.0, 0.0, 0, 1.0 
5760, 38, 8.0, 1.0, 0, 1.0 
5881, 39, 5.0, 1.0, 0, 1.0 
6010, 40, 9.0, -1.0, 0, 1.0 
6172, 41, 14.0, 1.0, 0, 1.0 
6329, 42, 9.0, 0.0, 0, 1.0 
6455, 43, 9.0, 1.0, 0, 1.0 
6570, 44, 7.0, 0.0, 0, 1.0 
6739, 45, 8.0, 0.0, 0, 1.0 
6928, 46, 15.0, 0.0, 0, 1.0 
7042, 47, 6.0, 1.0, 0, 1.0 
7160, 48, 7.0, 1.0, 0, 1.0 
7306, 49, 8.0, 0.0, 0, 1.0 
7429, 50, 8.0, 0.0, 0, 1.0 
7589, 51, 9.0, 1.0, 0, 1.0 
7713, 52, 9.0, 0.0, 0, 1.0 
7822, 53, 9.0, 0.0, 0, 1.0 
8015, 54, 8.0, 1.0, 0, 1.0 
8208, 55, 9.0, 0.0, 0, 1.0 
8369, 56, 8.0, 1.0, 0, 1.0 
8491, 57, 8.0, 1.0, 0, 1.0 
8687, 58, 9.0, 1.0, 0, 1.0 
8829, 59, 6.0, 0.0, 0, 1.0 
8947, 60, 7.0, -0.5, 0, 1.0 
9115, 61, 8.0, 1.0, 0, 1.0 
9266, 62, 7.0, 0.0, 0, 1.0 
9429, 63, 8.0, 0.0, 0, 1.0 
9539, 64, 9.0, 0.0, 0, 1.0 
9660, 65, 6.0, 0.0, 0, 1.0 
9784, 66, 8.0, 0.0, 0, 1.0 
9900, 67, 7.0, 0.0, 0, 1.0 
10034, 68, 8.0, 0.0, 0.42161399126052856, 0.9611509762964365 
10148, 69, 10.0, 0.0, 0.3256914019584656, 0.8381938130531251 
10255, 70, 9.0, 1.0, 0.1654375195503235, 0.737135886108734 
10359, 71, 9.0, 1.0, 0.16282080113887787, 0.6506014954377812 
10474, 72, 15.0, 0.0, 0.31515946984291077, 0.5666911499793181 
10581, 73, 8.0, 0.0, 0.1855686753988266, 0.4983672946336889 
10732, 74, 13.0, 0.0, 0.4673464894294739, 0.41572689303838667 
10847, 75, 8.0, 0.0, 0.025410998612642288, 0.36210914476107664 
10951, 76, 10.0, 0.0, 0.16123881936073303, 0.31960016536015073 
11108, 77, 13.0, 0.0, 0.6024343371391296, 0.2646895423179331 
11226, 78, 8.0, 0.0, 0.611390233039856, 0.22972261807642416 
